title,date,category,excerpt,image,tags,slug
Testing ScholarAI: When a Custom GPT Actually Works (But Also Really Wants You to Upgrade),2025-12-05,Tool Comparison,I tested the ScholarAI custom GPT to see if it lived up to the hype. I wanted to find out what it can really do.,/images/posts/testing-scholarai-when-a-custom-gpt-actually-works-but-also-really-wants-you-to-upgrade.jpg,ChatGPT,testing-scholarai-when-a-custom-gpt-actually-works-but-also-really-wants-you-to-upgrade
The Case of the Color-Changing (and Sometimes Disappearing) Shirt,2025-10-24,Tool Comparison,"The Challenge: A friend needed her headshot edited to match her brand colors - specifically, changing her blue dress to purple. Simple enough, right? Well, as with most things in AI, the journey was m...",/images/posts/the-case-of-the-color-changing-and-sometimes-disappearing-shirt.png,ChatGPT,the-case-of-the-color-changing-and-sometimes-disappearing-shirt
The Day Peloton Forgot My Run (and GPT 5 Rebuilt It from Disconnected Data Sources),2025-10-16,Tool Comparison,"When your fitness app fails, AI can still finish the story.",/images/posts/the-day-peloton-forgot-my-run-and-gpt-5-rebuilt-it-from-disconnected-data-sources.png,ChatGPT,the-day-peloton-forgot-my-run-and-gpt-5-rebuilt-it-from-disconnected-data-sources
The Prompt That Actually Worked: Text to Calendar,2025-10-14,Tool Comparison,"Yesterday I shared how I turned the park district's basketball schedule into a clean calendar file. Today I'm sharing the exact prompt template I used, because the magic wasn't in the AI, it was in be...",/images/posts/the-prompt-that-actually-worked-text-to-calendar.png,ChatGPT,the-prompt-that-actually-worked-text-to-calendar
Trapped in the Chat: Why I Rebuilt My Claude App in Gemini 3,2025-11-24,Tool Comparison,"We often talk about ""Vendor Lock-in"" with enterprise software, but I recently discovered a new flavor of it: ""Prompt Lock-in.""",/images/posts/trapped-in-the-chat-why-i-rebuilt-my-claude-app-in-gemini-3.jpg,Gemini,trapped-in-the-chat-why-i-rebuilt-my-claude-app-in-gemini-3
Using GenAI to Prepare for a Partnership Conversation,2025-11-03,Tool Comparison,"This week’s experiment explored how GenAI can speed up and elevate partnership preparation, not just by summarizing a company’s data, but by helping you think like their business.",/images/posts/using-genai-to-prepare-for-a-partnership-conversation.png,"ChatGPT, Perplexity",using-genai-to-prepare-for-a-partnership-conversation
When a Wine List Becomes a Logic Puzzle,2025-12-03,Tool Comparison,"Last week I went to a newly opened speakeasy and ordered a glass of white wine. The server who was young, friendly, but clearly new, admitted he hadn’t tasted any of the wines yet and neither had the ...",/images/posts/when-a-wine-list-becomes-a-logic-puzzle.jpg,ChatGPT,when-a-wine-list-becomes-a-logic-puzzle
When AI Becomes Your Holiday Shopping Assistant: Claude Voice Mode Edition,2025-11-20,Tool Comparison,Yesterday's experiment started during my drive to daycare pickup and ended with an actual shopping plan I might follow. If you've ever stared at a gift list for 8 family members and felt your soul lea...,/images/posts/when-ai-becomes-your-holiday-shopping-assistant-claude-voice-mode-edition.png,Claude,when-ai-becomes-your-holiday-shopping-assistant-claude-voice-mode-edition
When AI Data Extraction Becomes More Work Than Doing It Manually,2025-11-14,Tool Comparison,The promise: AI will automate tedious tasks like extracting data from PDFs into spreadsheets.,/images/posts/when-ai-data-extraction-becomes-more-work-than-doing-it-manually.png,,when-ai-data-extraction-becomes-more-work-than-doing-it-manually
When AI Gets Creative (A Little Too Creative): The Gamma vs. ChatGPT Experiment,2025-11-05,Tool Comparison,"I just had one of those ""this is why we can't have nice things"" moments with AI.",/images/posts/when-ai-gets-creative-a-little-too-creative-the-gamma-vs-chatgpt-experiment.png,,when-ai-gets-creative-a-little-too-creative-the-gamma-vs-chatgpt-experiment
When AI looks in your Fridge,2025-11-11,Tool Comparison,Last night's experiment started with a simple idea: could a large language model make something useful out of the chaos in my fridge after a busy weekend?,/images/posts/when-ai-looks-in-your-fridge.png,ChatGPT,when-ai-looks-in-your-fridge
When ChatGPT 'Tried' to Build My Half Marathon Playlist,2025-10-22,Tool Comparison,"I had a simple ask. I needed a playlist for my upcoming half marathon, but not some generic ""pump up"" mix. I wanted something that understood my target pace, my tendency to start too fast, and exactly...",/images/posts/when-chatgpt-tried-to-build-my-half-marathon-playlist.png,ChatGPT,when-chatgpt-tried-to-build-my-half-marathon-playlist
"When the Youth Basketball Schedule Has Everything Except an ""Add to Calendar"" Button",2025-10-13,Tool Comparison,"I had a problem. Actually, I had a perfectly functional schedule. The park district's website listed seven weeks of youth basketball games with all the information I needed: dates, times, locations, m...",/images/posts/when-the-youth-basketball-schedule-has-everything-except-an-add-to-calendar-button.png,ChatGPT,when-the-youth-basketball-schedule-has-everything-except-an-add-to-calendar-button
